单词,中文,音标,切词,发音方式
Monday,星期一,/?m?nde?/,Mon - day,"/?m?n/（m发“摸”，?发“啊”的短音，n发“呢”的音）
/de?/（d发“的”，e?发“诶”的音）"
Tuesday,星期二,/?tju?zde?/,Tues - day,"/?tju?z/（t发“特”，ju?发“优”的音，z发“兹”的音）
/de?/（d发“的”，e?发“诶”的音）"
Wednesday,星期三,/?wenzde?/,Wednes - day,"/?wenz/（w发“呜”，e发“哎”的短音，n发“呢”，z发“兹”的音）
/de?/（d发“的”，e?发“诶”的音）"
Thursday,星期四,/?θ??zde?/,Thurs - day,"/?θ??z/（θ发“斯”的轻咬舌音，??发“呃”的长音，z发“兹”的音）
/de?/（d发“的”，e?发“诶”的音）"
Friday,星期五,/?fra?de?/,Fri - day,"/?fra?/（fr发“夫日”的音，a?发“爱”的音）
/de?/（d发“的”，e?发“诶”的音）"
Saturday,星期六,/?s?t?de?/,Sat - ur - day,"/?s?t/（s发“嘶”，?发“哎”的短音，t发“特”的音）
/?/（发“呃”的轻音）
/de?/（d发“的”，e?发“诶”的音）"
Sunday,星期日,/?s?nde?/,Sun - day,"/?s?n/（s发“嘶”，?发“啊”的短音，n发“呢”的音）
/de?/（d发“的”，e?发“诶”的音）"
park,公园,/pɑ?k/,p - ar - k,"/p/（发“泼”的音）
/ɑ?/（发“啊”的长音）
/k/（发“科”的音）"
visit,看望，拜访,/?v?z?t/,vis - it,"/?v?z/（v发“呜”的浊音，?发“一”的短音，z发“兹”的音）
/?t/（?发“一”的短音，t发“特”的音）"
lesson,课，课程,/?lesn/,les - son,"/?les/（l发“了”，e发“哎”的音，s发“嘶”的音）
/n/（发“呢”的音）"
football,足球,/?f?tb??l/,foot - ball,"/?f?t/（f发“夫”，?发“乌”的短音，t发“特”的音）
/b??l/（b发“波”，??发“哦”的长音，l发“了”的音）"
art,美术，艺术,/ɑ?t/,a - rt,"/ɑ?/（发“啊”的长音）
/t/（发“特”的音）"
subject,科学,/?s?bd??kt/,sub - ject,"/?s?b/（s发“嘶”，?发“啊”的短音，b发“波”的音）
/d??kt/（d?发“知”的音，?发“一”的短音，k发“科”的音，t发“特”的音）"
something,某物；某事,/?s?mθ??/,some - thing,"/?s?m/（s发“嘶”，?发“啊”的短音，m发“摸”的音）
/θ??/（θ发“斯”的轻咬舌音，?发“一”的短音，?发“嗯”的后鼻音）"
idea,想法，主意,/a??d??/,i - dea,"/a?/（发“爱”的音）
/?d??/（d发“的”，?发“一”的短音，?发“呃”的轻音）"
soon,不久，即刻，很快,/su?n/,s - oo - n,"/s/（发“嘶”的音）
/u?/（发“乌”的长音）
/n/（发“呢”的音）"
teach,教，教授,/ti?t?/,t - each,"/t/（发“特”的音）
/i?/（发“一”的长音）
/t?/（发“吃”的音）"
English,英语,/???ɡl??/,Eng - lish,"/???/（?发“一”的短音，?发“嗯”的后鼻音）
/ɡl??/（g发“哥”，l发“了”，?发“一”的短音，?发“诗”的音）"
card,卡片,/kɑ?d/,c - ar - d,"/k/（发“科”的音）
/ɑ?/（发“啊”的长音）
/d/（发“的”的音）"
busy,忙的，忙碌的,/?b?zi/,bus - y,"/?b?z/（b发“波”，?发“一”的短音，z发“兹”的音）
/i/（发“一”的音）"
old,年老的；相识很久的,/??ld/,o - ld,"/??/（发“欧”的音）
/ld/（l发“了”，d发“的”的音"
some,一些，若干,/s?m/,s - ome,"/s/（发“嘶”的音）
/?m/（?发“呃”的轻音，m发“摸”的音）"
bookmark,书签,/?b?kmɑ?k/,book - mark,"/?b?k/（b发“波”，?发“乌”的短音，k发“科”的音）
/mɑ?k/（m发“摸”，ɑ?发“啊”的长音，k发“科”的音）"
stick,木棍，拐杖,/st?k/,st - ick,"/st/（s发“嘶”，t发“特”的音）
/?k/（?发“一”的短音，k发“科”的音）"
sure,当然，好的,/???(r)/,sure（整体发音）,"/?/（发“诗”的音）
/??/（?发“乌”的短音，?发“呃”的轻音，r在美音中发音，英音中有时不发音）"
flower,花，花朵,/?fla??(r)/,flow - er,"/?fla?/（fl发“夫了”的音，a?发“奥”的音）
/?/（发“呃”的轻音，r在美音中发音，英音中有时不发音）"
afterschool,课外的,/?ɑ?ft?sku?l/,after - school,"/?ɑ?ft?/（ɑ?发“啊”的长音，f发“夫”，t发“特”，?发“呃”的轻音）
/sku?l/（s发“嘶”，k发“科”，u?发“乌”的长音，l发“了”的音）"
club,俱乐部,/kl?b/,cl - ub,"/kl/（k发“科”，l发“了”的音）
/?b/（?发“啊”的短音，b发“波”的音）"
piano,钢琴,/pi??n??/,pi - an - o,"/pi/（p发“泼”，i发“一”的音）
/??n/（?发“哎”的短音，n发“呢”的音）
/??/（发“欧”的音）"
basketball,篮球,/?bɑ?sk?tb??l/,bas - ket - ball,"/?bɑ?s/（b发“波”，ɑ?发“啊”的长音，s发“嘶”的音）
/k?t/（k发“科”，?发“一”的短音，t发“特”的音）
/b??l/（b发“波”，??发“哦”的长音，l发“了”的音）"
computer,计算机；电脑,/k?m?pju?t?(r)/,com - pu - ter,"/?k?m/（k发“科”，?发“呃”的轻音，m发“摸”的音）
/?pju?/（p发“泼”，ju?发“优”的音）
/t?/（t发“特”，?发“呃”的轻音，r在美音中发音，英音中有时不发音）"
music,音乐,/?mju?z?k/,mu - sic,"/?mju?/（m发“摸”，ju?发“优”的音）
/z?k/（z发“兹”，?发“一”的短音，k发“科”的音）"
science,科学,/?sa??ns/,sci - ence,"/?sa?/（s发“嘶”，a?发“爱”的音）
/?ns/（?发“呃”的轻音，n发“呢”，s发“嘶”的音） "
